c_lat,c_lon,n_lat,gr_id,e_lon,w_lon,s_lat
40.489999999999995,-74.25,40.5,0,-74.24000000000001,-74.26,40.48
40.489999999999995,-74.23,40.5,1,-74.22000000000001,-74.24000000000001,40.48
40.489999999999995,-74.21000000000001,40.5,2,-74.20000000000002,-74.22000000000001,40.48
40.489999999999995,-74.19000000000001,40.5,3,-74.18000000000002,-74.20000000000002,40.48
40.489999999999995,-74.17000000000002,40.5,4,-74.16000000000003,-74.18000000000002,40.48
40.489999999999995,-74.15000000000002,40.5,5,-74.14000000000003,-74.16000000000003,40.48
40.489999999999995,-74.13000000000002,40.5,6,-74.12000000000003,-74.14000000000003,40.48
40.489999999999995,-74.11000000000003,40.5,7,-74.10000000000004,-74.12000000000003,40.48
40.489999999999995,-74.09000000000003,40.5,8,-74.08000000000004,-74.10000000000004,40.48
40.489999999999995,-74.07000000000004,40.5,9,-74.06000000000004,-74.08000000000004,40.48
40.489999999999995,-74.05000000000004,40.5,10,-74.04000000000005,-74.06000000000004,40.48
40.489999999999995,-74.03000000000004,40.5,11,-74.02000000000005,-74.04000000000005,40.48
40.489999999999995,-74.01000000000005,40.5,12,-74.00000000000006,-74.02000000000005,40.48
40.489999999999995,-73.99000000000005,40.5,13,-73.98000000000006,-74.00000000000006,40.48
40.489999999999995,-73.97000000000006,40.5,14,-73.96000000000006,-73.98000000000006,40.48
40.489999999999995,-73.95000000000006,40.5,15,-73.94000000000007,-73.96000000000006,40.48
40.489999999999995,-73.93000000000006,40.5,16,-73.92000000000007,-73.94000000000007,40.48
40.489999999999995,-73.91000000000007,40.5,17,-73.90000000000008,-73.92000000000007,40.48
40.489999999999995,-73.89000000000007,40.5,18,-73.88000000000008,-73.90000000000008,40.48
40.489999999999995,-73.87000000000008,40.5,19,-73.86000000000008,-73.88000000000008,40.48
40.489999999999995,-73.85000000000008,40.5,20,-73.84000000000009,-73.86000000000008,40.48
40.489999999999995,-73.83000000000008,40.5,21,-73.82000000000009,-73.84000000000009,40.48
40.489999999999995,-73.81000000000009,40.5,22,-73.8000000000001,-73.82000000000009,40.48
40.489999999999995,-73.79000000000009,40.5,23,-73.7800000000001,-73.8000000000001,40.48
40.489999999999995,-73.7700000000001,40.5,24,-73.7600000000001,-73.7800000000001,40.48
40.51,-74.25,40.52,25,-74.24000000000001,-74.26,40.5
40.51,-74.23,40.52,26,-74.22000000000001,-74.24000000000001,40.5
40.51,-74.21000000000001,40.52,27,-74.20000000000002,-74.22000000000001,40.5
40.51,-74.19000000000001,40.52,28,-74.18000000000002,-74.20000000000002,40.5
40.51,-74.17000000000002,40.52,29,-74.16000000000003,-74.18000000000002,40.5
40.51,-74.15000000000002,40.52,30,-74.14000000000003,-74.16000000000003,40.5
40.51,-74.13000000000002,40.52,31,-74.12000000000003,-74.14000000000003,40.5
40.51,-74.11000000000003,40.52,32,-74.10000000000004,-74.12000000000003,40.5
40.51,-74.09000000000003,40.52,33,-74.08000000000004,-74.10000000000004,40.5
40.51,-74.07000000000004,40.52,34,-74.06000000000004,-74.08000000000004,40.5
40.51,-74.05000000000004,40.52,35,-74.04000000000005,-74.06000000000004,40.5
40.51,-74.03000000000004,40.52,36,-74.02000000000005,-74.04000000000005,40.5
40.51,-74.01000000000005,40.52,37,-74.00000000000006,-74.02000000000005,40.5
40.51,-73.99000000000005,40.52,38,-73.98000000000006,-74.00000000000006,40.5
40.51,-73.97000000000006,40.52,39,-73.96000000000006,-73.98000000000006,40.5
40.51,-73.95000000000006,40.52,40,-73.94000000000007,-73.96000000000006,40.5
40.51,-73.93000000000006,40.52,41,-73.92000000000007,-73.94000000000007,40.5
40.51,-73.91000000000007,40.52,42,-73.90000000000008,-73.92000000000007,40.5
